Newreno CWND flow 1,Newreno CWND flow 2,Tahoe CWND flow 1,Tahoe CWND flow 2,Vegas CWND flow 1,Vegas CWND flow 2
1.0,1.0,1.0,1.0,1.0,1.0
3.2448299999999994,2.2,3.2448299999999994,1.7,4.8,3.0
2.5,3.8824149999999995,2.5,3.0724149999999995,6.0,2.625
4.132302999999999,3.782956,4.266183,3.558326,4.25,2.625
5.412434999999999,4.848659,5.697013999999999,4.87415,4.25,2.625
6.532484000000001,5.879222,6.717549,5.901317999999999,4.25,2.625
5.354246,4.773439,3.7351280000000004,3.554837,4.25,2.625
4.0104999999999995,4.291683000000001,2.266665,3.0736850000000002,4.25,2.625
5.0122230000000005,5.611689,4.365994000000001,4.8332120000000005,4.25,2.625
6.104099,6.505279999999999,5.409368000000001,5.902319999999999,4.25,2.625
5.246038,5.207225,6.193305999999998,5.721665,4.25,2.625
3.7631959999999993,4.762805999999999,1.0,4.987440000000001,4.25,2.625
4.875008000000001,5.170118,3.3562130000000003,2.682205,4.25,2.625
5.671099,6.417434999999999,4.748402000000001,4.820549,4.25,2.625
5.016191999999999,5.259518,5.661760000000001,6.187943,4.25,2.625
3.78697,4.7002120000000005,6.581546,3.820094,4.25,2.625
4.720003,5.915703000000001,2.183446,5.007021999999999,4.25,2.625
5.837722999999999,6.755043000000001,3.7989829999999998,6.784578000000001,4.25,2.625
4.635032000000001,4.858131000000001,4.466423000000001,4.62377,4.25,2.625
3.7459349999999993,4.311398,5.332438000000001,4.285169999999999,4.25,2.625
4.723594,5.533427,1.7600000000000002,2.868256,4.25,2.625
5.594810999999999,6.597333000000001,3.3004490000000004,5.139183,4.25,2.625
4.965249,5.344468000000001,4.579282000000001,6.379942000000002,4.25,2.625
3.6460859999999995,4.888396999999999,5.5594079999999995,4.466524,4.25,2.625
4.814451,5.862743,4.435169999999999,4.191775000000001,4.25,2.625
5.776576,6.164973000000001,2.1712040000000004,4.158486,4.25,2.625
4.962837,5.124307,4.171893,4.572557000000001,4.25,2.625
3.670079,4.6136230000000005,5.21583,5.760555,4.25,2.625
4.609751,5.849126999999999,6.022392,4.462261,4.25,2.625
5.722808000000001,6.703245,4.509025,2.8272880000000002,4.25,2.625
4.5221,5.518988,2.9157640000000002,4.369915999999999,4.25,2.625
3.6393989999999996,4.233040000000001,4.3537170000000005,6.1642980000000005,4.25,2.625
4.618926,5.444959,5.257947,4.607430000000001,4.25,2.625
5.591090999999999,6.521666000000001,6.330642,4.285169999999999,4.25,2.625
4.5219640000000005,5.286298,3.995664,2.1533320000000002,4.25,2.625
3.6393310000000008,4.836304,2.166665,4.443119,4.25,2.625
4.798795,5.830221,4.1650030000000005,3.800846000000001,4.25,2.625
5.6757100000000005,6.148751000000002,5.3633880000000005,5.2165539999999995,4.25,2.625
4.862079,5.046675,6.272741999999999,5.1275509999999995,4.25,2.625
3.569701,4.5908940000000005,3.7672040000000004,4.298542,4.25,2.625
4.674805,5.791403000000001,2.50545,4.553672999999999,4.25,2.625
5.866853999999999,6.651011,4.080222000000001,4.170565999999999,4.25,2.625
4.521924,5.470944,5.254624,5.798036999999999,4.25,2.625
3.6645209999999997,4.3002839999999996,5.023123,3.4530079999999996,4.25,2.625
4.618862,5.413535,1.7,4.708195999999999,4.25,2.625
5.8225940000000005,6.4422060000000005,3.030231,3.9165900000000007,4.25,2.625
4.71192,5.196157,4.655150999999999,5.540762000000001,4.25,2.625
3.829306999999999,4.746071,5.830201,5.1804760000000005,4.25,2.625
4.988783,5.8161950000000004,3.3081359999999997,2.9503280000000003,4.25,2.625
5.675698,6.811719999999999,2.266665,5.293428999999999,4.25,2.625
4.862067000000001,4.960348999999999,4.088335000000001,6.476568,4.25,2.625
3.569697,4.53646,5.009005,7.599196999999999,4.25,2.625
4.674801,5.704648999999999,5.679466999999999,3.7364249999999997,4.25,2.625
5.8668499999999995,6.558511,1.4,4.007776,4.25,2.625
4.62192,5.425263999999999,3.5266539999999997,5.861803,4.25,2.625
3.764521,4.274217999999999,4.454842,5.939282,4.25,2.625
4.718862,5.50488,5.455928,7.185256999999998,4.25,2.625
5.8225940000000005,6.442558,2.775415,2.00183,4.25,2.625
4.62192,5.217204,2.871204,4.140274000000001,4.25,2.625
3.7393069999999993,4.796637,4.116006999999999,5.860564000000001,4.25,2.625
4.898779,5.860024,5.345299000000001,6.830276,4.25,2.625
5.775698,6.8842669999999995,6.340832999999999,5.058631999999999,4.25,2.625
4.962067,5.006628,1.15,1.933332,4.25,2.625
3.669697,4.574733,3.369997,4.444393000000001,4.25,2.625
4.674801,5.737093999999999,4.736515000000002,5.786924999999999,4.25,2.625
5.966849999999999,6.587181000000001,5.628292,6.8109459999999995,4.25,2.625
4.62192,5.475764,6.252389999999999,4.107635,4.25,2.625
3.764521,4.951851,3.9993759999999994,3.467532,4.25,2.625
4.718862,5.482714,2.6054500000000003,5.031825,4.25,2.625
